Year,Annual Avg.,Afghanistan,Algeria,Angola,Burundi,Colombia,El Salvador,Guatemala,India,Iraq,Lebanon,Nicaragua,Nigeria,Pakistan,Peru,Philippines,Russia,Rwanda,Somalia,Sri Lanka,Sudan,Syria,Turkey,United Kingdom,United States,Yemen
1970,3.88,0,0,0,0,0,0,2,0,0,0,0,0,1,0,41,0,0,0,0,0,0,0,20,33,0
1971,5.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,110,20,0
1972,15.36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,368,10,0
1973,10.48,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,210,45,0
1974,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,235,16,0
1975,13.88,0,0,0,0,7,2,23,4,0,28,11,0,1,0,1,0,0,0,1,0,0,0,245,24,0
1976,14.6,0,0,0,0,10,3,8,0,12,4,0,0,1,0,47,0,0,0,0,0,5,7,264,4,0
1977,8.56,0,0,0,0,38,4,6,0,0,3,26,0,0,0,0,0,0,0,0,0,1,29,103,4,0
1978,24.04,0,0,0,0,71,33,35,0,0,107,93,0,5,0,128,0,0,0,0,0,0,40,81,8,0
1979,51.72,53,0,19,0,156,286,53,31,1,33,187,0,6,5,107,0,0,0,2,0,80,123,133,18,0
1980,149.4,0,0,0,0,159,2383,528,17,8,90,37,0,17,2,163,0,0,1,0,0,89,111,115,15,0
1981,171.16,0,0,3,0,365,1578,1381,24,0,264,172,0,4,10,176,0,0,0,3,2,192,11,86,8,0
1982,189.32,0,0,2,0,368,1549,1562,64,96,233,254,0,3,243,139,0,0,0,7,0,98,9,95,11,0
1983,355.68,0,0,282,0,437,1667,530,59,1,615,3277,1,10,1818,101,0,0,0,6,0,1,2,77,8,0
1984,386.12,0,0,179,0,485,1315,171,195,0,61,3617,0,12,2467,262,0,0,0,485,305,0,27,69,3,0
1985,250.04,0,0,6,0,935,1013,137,51,0,644,1575,0,0,729,452,0,0,0,611,0,30,1,64,3,0
1986,156.4,0,0,119,0,771,293,54,340,0,247,395,0,60,513,322,0,0,0,690,8,8,26,63,1,0
1987,218.04,0,0,5,0,655,421,211,506,0,178,549,0,183,773,404,0,0,0,1274,0,0,187,104,1,0
1988,248.84,128,0,145,0,1096,361,135,966,43,176,208,4,136,855,550,0,0,0,885,58,0,102,372,1,0
1989,255.8,10,0,88,0,751,350,43,874,0,113,48,0,56,1502,393,0,0,30,1822,14,0,232,66,3,0
1990,246.2,12,3,147,0,694,294,68,907,0,113,23,0,188,1146,457,0,0,5,1505,0,0,512,76,5,0
1991,254.36,68,42,69,117,742,426,73,1113,1,98,54,10,231,1412,432,0,0,6,1034,32,0,308,88,2,1
1992,261.12,49,236,97,61,631,23,28,1152,117,79,22,135,152,818,395,34,141,8,984,13,0,1233,94,2,24
1994,208.96,22,500,108,265,218,22,22,389,75,57,12,15,354,81,126,34,1571,78,186,17,0,982,66,10,14
1995,198.84,5,417,52,583,521,3,40,361,156,35,6,1,712,103,201,145,201,29,1020,6,0,189,11,170,4
1996,206.76,31,529,18,1371,611,26,14,569,11,57,18,24,423,74,95,135,129,28,815,40,15,117,14,2,3
1997,378.32,4,4266,34,386,1230,1,22,853,106,36,7,107,443,47,98,61,1027,145,486,1,2,60,23,2,11
1998,149.6,8,952,275,392,592,0,0,398,19,17,0,9,151,7,6,49,100,0,670,0,0,37,46,4,8
1999,113.12,39,467,299,108,262,0,3,464,32,23,0,134,127,28,45,395,0,9,212,16,0,127,7,20,11
2000,132.48,38,528,178,97,426,0,2,671,10,12,2,20,118,4,290,362,4,36,449,27,0,12,7,0,19
2001,272.24,174,624,846,166,576,0,1,658,9,0,0,3,109,16,154,228,2,3,194,13,0,17,8,3003,2
2002,126.52,74,615,59,67,356,0,0,593,10,2,0,28,105,9,125,512,0,6,3,589,0,0,2,4,4
2003,97.6,163,269,0,116,184,0,1,472,347,3,0,28,119,7,288,328,0,7,23,0,0,67,2,0,16
2004,171.32,275,166,0,18,83,0,3,334,2146,1,0,41,304,6,206,607,0,6,30,28,4,25,0,0,0
2005,213.28,367,228,0,13,145,0,0,463,3380,22,0,19,150,7,49,156,30,20,125,54,0,35,57,0,12
2006,345.68,731,185,0,21,79,0,5,722,4612,12,0,254,314,7,60,57,0,22,1012,484,5,45,0,1,14
2007,468.84,1197,279,0,3,64,0,0,626,6648,40,0,82,1406,18,115,55,0,408,410,317,0,25,4,0,24
2008,316.76,1089,249,0,28,85,0,0,763,2863,142,0,72,1184,0,220,95,0,436,352,205,18,42,0,2,74
2009,304.6,1064,204,2,0,107,0,0,774,2583,17,0,316,1487,19,152,141,4,381,201,77,0,18,3,18,47
2010,282.8,1058,109,4,14,56,0,0,812,2071,2,0,117,1695,0,155,231,6,295,2,81,0,13,0,4,345
2011,302.56,1521,25,0,47,43,0,0,484,1865,1,0,447,1655,0,127,160,2,344,0,193,163,25,1,0,461
2012,575.56,3521,30,0,6,168,0,2,264,2688,9,0,1504,2783,10,210,161,10,775,0,60,876,248,1,7,1056
2013,811,3696,101,0,5,137,0,4,467,7038,190,0,2014,2874,6,432,148,6,646,0,220,1558,83,4,22,624
2014,1474.64,5413,37,0,4,143,0,0,490,13076,132,5,7773,2412,4,472,67,1,1582,3,546,3301,38,0,19,1348
2015,1269.44,6208,21,0,220,104,0,0,387,8831,111,0,5351,1606,6,444,21,0,1389,3,210,3916,490,1,44,2373
